name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,3427,,,,0.0,,poi,0.0,-122.43363703500142,37.76996551291274,,2779.0,,12,1.240325395392,1.240325395392,poi
,3428,,,,0.0,,poi,0.0,-122.43383858942951,37.77052286687202,,2780.0,,7,1.3616346656,1.3616346656,poi
,3429,,,,0.0,,poi,0.0,-122.43391861901969,37.770520140530316,,2781.0,,7,1.235373996608,1.235373996608,poi
,3430,,,,0.0,,poi,0.0,-122.43375078752688,37.770374021366464,,2782.0,,7,1.4581869418879998,1.4581869418879998,poi
,3431,,,,0.0,,poi,0.0,-122.43371806054478,37.770168141116145,,2783.0,,12,1.6723349392959999,1.6723349392959999,poi
,3432,,,,0.0,,poi,0.0,-122.43308922226208,37.77063435640756,,2784.0,,7,1.4817060861120002,1.4817060861120002,poi
,3433,,,,0.0,,poi,0.0,-122.4328302779895,37.770269062869176,,2785.0,,7,1.408672954048,1.408672954048,poi
,3434,,,,0.0,,poi,0.0,-122.43288391986523,37.770469204711134,,2786.0,,7,2.4583694962559997,2.4583694962559997,poi
,3435,,,,0.0,,poi,0.0,-122.43278787181791,37.769919750568974,,2787.0,,12,2.660138996704,2.660138996704,poi
,3436,,,,0.0,,poi,0.0,-122.43317372337057,37.77061975942666,,2788.0,,7,1.39877015648,1.39877015648,poi
,3437,,,,0.0,,poi,0.0,-122.43283259047831,37.77012910015056,,2789.0,,12,1.512652328512,1.512652328512,poi
,3438,,,,0.0,,poi,0.0,-122.43277631383428,37.770071590661395,,2790.0,,12,1.2069034535999998,1.2069034535999998,poi
,3439,,,,0.0,,poi,0.0,-122.43322255634226,37.770219834556364,,2791.0,,7,1.3220234753279998,1.3220234753279998,poi
,3440,,,,0.0,,poi,0.0,-122.4332501164897,37.77042585544086,,2792.0,,7,1.697091933216,1.697091933216,poi
,3441,,,,0.0,,poi,0.0,-122.43281084319963,37.76999299043187,,2793.0,,12,2.1068201825919997,2.1068201825919997,poi
,3442,,,,0.0,,poi,0.0,-122.43322050342593,37.770147809600886,,2794.0,,12,1.3566832668159998,1.3566832668159998,poi
,3443,,,,0.0,,poi,0.0,-122.43300222080096,37.77063053977499,,2795.0,,7,1.8481095961280003,1.8481095961280003,poi
,3444,,,,0.0,,poi,0.0,-122.43316669444702,37.76994676983581,,2796.0,,12,1.620345252064,1.620345252064,poi
,3445,,,,0.0,,poi,0.0,-122.43322566188385,37.77028453946375,,2797.0,,7,1.6550050435519998,1.6550050435519998,poi
,3446,,,,0.0,,poi,0.0,-122.43317384728412,37.77001657185433,,2798.0,,12,1.5993018072319998,1.5993018072319998,poi
,3447,,,,0.0,,poi,0.0,-122.43335406297778,37.77057158524529,,2799.0,,7,3.3496212773760004,3.3496212773760004,poi
,3448,,,,0.0,,poi,0.0,-122.43282778423405,37.77065793331693,,2800.0,,7,2.3519144224,2.3519144224,poi
,3449,,,,0.0,,poi,0.0,-122.43315275341513,37.769876539105724,,2801.0,,12,1.6748106386880002,1.6748106386880002,poi
,3450,,,,0.0,,poi,0.0,-122.43289020587959,37.77039812994699,,2802.0,,7,1.8505852955199997,1.8505852955199997,poi
,3451,,,,0.0,,poi,0.0,-122.43282424437456,37.770336816205436,,2803.0,,7,1.149962367584,1.149962367584,poi
,3452,,,,0.0,,poi,0.0,-122.43323868253441,37.7703547624082,,2804.0,,7,1.570831264224,1.570831264224,poi
,3453,,,,0.0,,poi,0.0,-122.43325168089599,37.77060333058547,,2805.0,,7,1.6042532060159997,1.6042532060159997,poi
,3454,,,,0.0,,poi,0.0,-122.43320434966002,37.770079039828225,,2806.0,,12,1.3591589662080001,1.3591589662080001,poi
,3455,,,,0.0,,poi,0.0,-122.43291753397196,37.770648330224475,,2807.0,,7,1.6178695526719997,1.6178695526719997,poi
,3456,,,,0.0,,poi,0.0,-122.43282753864206,37.77019974369493,,2808.0,,7,1.5460742703039998,1.5460742703039998,poi
,3457,,,,0.0,,poi,0.0,-122.43242731923469,37.77017591519085,,2809.0,,7,1.048458692512,1.048458692512,poi
,3458,,,,0.0,,poi,0.0,-122.43246527379108,37.770449875061175,,2810.0,,7,1.4359056473599998,1.4359056473599998,poi
,3459,,,,0.0,,poi,0.0,-122.43249265215435,37.77073170065557,,2811.0,,7,1.8914343354879999,1.8914343354879999,poi
,3460,,,,0.0,,poi,0.0,-122.43203150094729,37.770471764365,,2812.0,,7,1.2551795917439998,1.2551795917439998,poi
,3461,,,,0.0,,poi,0.0,-122.432447858855,37.77038618512625,,2813.0,,7,1.218044100864,1.218044100864,poi
,3462,,,,0.0,,poi,0.0,-122.4320359448413,37.770325179911694,,2814.0,,7,1.996651559648,1.996651559648,poi
,3463,,,,0.0,,poi,0.0,-122.43258806338288,37.770731268491204,,2815.0,,7,1.557214917568,1.557214917568,poi
,3464,,,,0.0,,poi,0.0,-122.43202974366129,37.770177586040965,,2816.0,,7,2.2466971982399997,2.2466971982399997,poi
,3465,,,,0.0,,poi,0.0,-122.43244440607869,37.77031419914297,,2817.0,,7,1.2155684014719998,1.2155684014719998,poi
,3466,,,,0.0,,poi,0.0,-122.43214476666792,37.77075692408969,,2818.0,,7,2.1625234189119995,2.1625234189119995,poi
,3467,,,,0.0,,poi,0.0,-122.43255628308857,37.770588989833406,,2819.0,,7,1.2848879844479997,1.2848879844479997,poi
,3468,,,,0.0,,poi,0.0,-122.43208579217894,37.770528013123055,,2820.0,,7,2.139004274688,2.139004274688,poi
,3469,,,,0.0,,poi,0.0,-122.43243487356493,37.770246709004674,,2821.0,,7,1.1103511773119998,1.1103511773119998,poi
,3470,,,,0.0,,poi,0.0,-122.4320299884442,37.770398834624686,,2822.0,,7,1.569593414528,1.569593414528,poi
,3471,,,,0.0,,poi,0.0,-122.43243731891931,37.770525153059225,,2823.0,,7,2.047403397184,2.047403397184,poi
,3472,,,,0.0,,poi,0.0,-122.4320061878183,37.77010839190653,,2824.0,,12,2.73564782816,2.73564782816,poi
,3473,,,,0.0,,poi,0.0,-122.43203997256596,37.77076811438185,,2825.0,,7,2.4942671374399996,2.4942671374399996,poi
,3474,,,,0.0,,poi,0.0,-122.43204074392484,37.77024983094473,,2826.0,,7,2.448466698688,2.448466698688,poi
,3475,,,,0.0,,poi,0.0,-122.43198688959862,37.77002346170846,,2827.0,,12,2.782686116608,2.782686116608,poi
,3476,,,,0.0,,poi,0.0,-122.43219781919457,37.77044423295114,,2828.0,,7,0.912295225952,0.912295225952,poi
,3477,,,,0.0,,poi,0.0,-122.43212484981224,37.77059429732811,,2829.0,,7,0.56941086016,0.56941086016,poi
,3478,,,,0.0,,poi,0.0,-122.43234067380524,37.76997256743158,,2830.0,,12,2.004078657824,2.004078657824,poi
,3479,,,,0.0,,poi,0.0,-122.4323624755387,37.77004457796427,,2831.0,,12,1.5980639575359998,1.5980639575359998,poi
,3480,,,,0.0,,poi,0.0,-122.43231225117195,37.77072475627634,,2832.0,,7,2.244221498848,2.244221498848,poi
,3481,,,,0.0,,poi,0.0,-122.43222789078185,37.770732738115605,,2833.0,,7,2.09196598624,2.09196598624,poi
