o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
6,B1,7,B2,0.4012160430151597,"LINESTRING (-122.4361199 37.7716339,-122.4319651 37.7714677)"
6,B1,8,B3,0.7462642452154942,"LINESTRING (-122.4361199 37.7716339,-122.4283861 37.7715651)"
6,B1,9,B4,1.178588220540119,"LINESTRING (-122.4361199 37.7716339,-122.4239069 37.7714378)"
6,B1,10,B5,1.5378396715367157,"LINESTRING (-122.4361199 37.7716339,-122.4201831 37.7718125)"
6,B1,11,C1,0.28493088164201924,"LINESTRING (-122.4361199 37.7716339,-122.4367054 37.7687396)"
6,B1,12,C2,0.5014480235875823,"LINESTRING (-122.4361199 37.7716339,-122.4318836 37.7686237)"
6,B1,13,C3,0.85279688473625,"LINESTRING (-122.4361199 37.7716339,-122.4278975 37.7683927)"
6,B1,14,C4,1.1967460992057932,"LINESTRING (-122.4361199 37.7716339,-122.4240656 37.7687146)"
6,B1,15,C5,1.624579783553013,"LINESTRING (-122.4361199 37.7716339,-122.4195889 37.7684398)"
6,B1,16,D1,0.5651203548322076,"LINESTRING (-122.4361199 37.7716339,-122.4358691 37.7657825)"
6,B1,17,D2,0.6766110128885139,"LINESTRING (-122.4361199 37.7716339,-122.4322351 37.7657961)"
6,B1,18,D3,0.9683333312458755,"LINESTRING (-122.4361199 37.7716339,-122.4278576 37.7659377)"
6,B1,19,D4,1.3045525236052897,"LINESTRING (-122.4361199 37.7716339,-122.423907 37.765834)"
6,B1,20,D5,1.6865176658565468,"LINESTRING (-122.4361199 37.7716339,-122.4196549 37.7657682)"
6,B1,21,E1,0.8405376633891082,"LINESTRING (-122.4361199 37.7716339,-122.4361629 37.7629229)"
6,B1,22,E2,0.9329468079143952,"LINESTRING (-122.4361199 37.7716339,-122.4320539 37.7628616)"
6,B1,23,E3,1.1577872790600705,"LINESTRING (-122.4361199 37.7716339,-122.4278735 37.7629176)"
6,B1,24,E4,1.4449648729960753,"LINESTRING (-122.4361199 37.7716339,-122.4239863 37.762857)"
6,B1,25,E5,1.7774324995557962,"LINESTRING (-122.4361199 37.7716339,-122.4199192 37.7628665)"
6,B1,26,Gate1,0.9388015651304698,"LINESTRING (-122.4361199 37.7716339,-122.4403457 37.76287)"
6,B1,27,Gate2,0.6958577905468419,"LINESTRING (-122.4361199 37.7716339,-122.4403457 37.76579)"
